kenteken,datum_tenaamstelling,merk,voertuigsoort,eerste_kleur,brandstof_omschrijving
RH167X,2018-01-02,MERCEDES-BENZ,Personenauto,WIT,CNG
F225XP,2018-01-02,SYM,Bromfiets,N.v.t.,Benzine
RK127T,2018-01-02,MERCEDES-BENZ,Personenauto,ZWART,Benzine
RG448G,2018-01-04,KIA,Personenauto,ROOD,Benzine
71TLS3,2018-01-02,TOYOTA,Personenauto,ZWART,Diesel
78SBZ5,2018-01-02,CHEVROLET,Personenauto,WIT,Benzine/LPG
V421KJ,2018-01-03,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
62NLV3,2018-01-03,MITSUBISHI,Personenauto,GRIJS,Benzine
RR428S,2018-01-03,MERCEDES-AMG,Personenauto,GRIJS,Benzine
RP635G,2018-01-03,PORSCHE,Personenauto,GRIJS,Benzine
7SLV73,2018-01-03,TOYOTA,Personenauto,GRIJS,Benzine
RR092T,2018-01-04,RENAULT,Personenauto,BRUIN,Benzine
V081KV,2018-01-03,OPEL,Bedrijfsauto,N.v.t.,Diesel
RG461G,2018-01-03,KIA,Personenauto,GRIJS,Benzine
87LFH7,2018-01-03,FIAT,Personenauto,BLAUW,Benzine
RP064G,2018-01-04,SUZUKI,Personenauto,GRIJS,Benzine
81BDJ9,2018-01-02,VOLVO,Bedrijfsauto,N.v.t.,Diesel
RL989H,2018-01-04,VOLKSWAGEN,Personenauto,ROOD,Diesel
GV346H,2018-01-04,OPEL,Personenauto,GRIJS,Benzine
8ZGL49,2018-01-04,SUZUKI,Personenauto,ZWART,Benzine
11GFL3,2018-01-02,LAND ROVER,Personenauto,BLAUW,Benzine
DPB27H,2018-01-03,EBRETTI,Bromfiets,N.v.t.,Elektriciteit
79NDDH,2018-01-02,TOYOTA,Personenauto,BLAUW,Benzine
53RVR2,2018-01-04,NISSAN,Personenauto,GRIJS,Benzine
RP428P,2018-01-04,SUZUKI,Personenauto,BLAUW,Benzine
49XBK6,2018-01-02,SUZUKI,Personenauto,GRIJS,Benzine
RK313V,2018-01-02,VOLKSWAGEN,Personenauto,WIT,Benzine
25PXJ1,2018-01-04,AUDI,Personenauto,GRIJS,Benzine
NB786B,2018-01-04,ALFA ROMEO,Personenauto,ROOD,Diesel
2TBL33,2018-01-03,VOLKSWAGEN,Personenauto,GRIJS,Benzine
19KFT6,2018-01-03,HYUNDAI,Personenauto,BLAUW,Benzine
RL215J,2018-01-03,VOLKSWAGEN,Personenauto,ZWART,Benzine
12JRT2,2018-01-04,NISSAN,Personenauto,BRUIN,Benzine
45JNDJ,2018-01-03,MAZDA,Personenauto,ZWART,Benzine
VBJN45,2018-01-02,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
RN263H,2018-01-03,NISSAN,Personenauto,ZWART,Benzine
RR350P,2018-01-04,MINI,Personenauto,ZWART,Benzine
NN912Z,2018-01-03,RENAULT,Personenauto,WIT,Benzine
V804KP,2018-01-02,FORD,Bedrijfsauto,N.v.t.,Diesel
92KVJ1,2018-01-04,CITROEN,Personenauto,WIT,Benzine
V917KF,2018-01-02,DODGE,Bedrijfsauto,N.v.t.,Benzine/LPG
NZ597B,2018-01-04,FIAT,Personenauto,GRIJS,Diesel
36BZZX,2018-01-04,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
RP471P,2018-01-02,SUZUKI,Personenauto,GRIJS,Benzine
2KNV87,2018-01-04,FORD,Personenauto,ZWART,Diesel
PB292G,2018-01-02,OPEL,Personenauto,GRIJS,Benzine
JL478N,2018-01-01,AUDI,Personenauto,ZWART,Benzine
7VJH51,2018-01-03,NISSAN,Bedrijfsauto,N.v.t.,Diesel
41RLHR,2018-01-03,CITROEN,Personenauto,BLAUW,Benzine
RJ817N,2018-01-02,AUDI,Personenauto,WIT,Benzine
PV235T,2018-01-03,OPEL,Personenauto,GRIJS,Benzine
DPB79P,2018-01-03,SPARTA,Bromfiets,N.v.t.,Benzine
80SNNB,2018-01-04,OPEL,Personenauto,PAARS,Benzine
RL852Z,2018-01-03,SUZUKI,Personenauto,ZWART,Benzine/Elektriciteit
RN020G,2018-01-02,MAZDA,Personenauto,ZWART,Benzine
FB991L,2018-01-02,ALPINO,Bromfiets,N.v.t.,Benzine
37NNVT,2018-01-02,PEUGEOT,Personenauto,ZWART,Benzine
DKJ85V,2018-01-02,MICROCAR,Bromfiets,N.v.t.,Diesel
95MDDB,2018-01-04,BMW,Motorfiets,N.v.t.,Benzine
V905KL,2018-01-02,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
08ZFH5,2018-01-04,FORD,Personenauto,BRUIN,Diesel
DS973F,2018-01-02,SPARTA,Bromfiets,N.v.t.,Benzine
4TBV41,2018-01-03,RENAULT,Personenauto,GRIJS,Diesel
3SNR31,2018-01-02,TOYOTA,Personenauto,WIT,Benzine
14KLJ2,2018-01-04,FIAT,Personenauto,BLAUW,Benzine
GX196H,2018-01-02,TOYOTA,Personenauto,ZWART,Benzine/Elektriciteit
V702KB,2018-01-02,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
9XSG57,2018-01-04,PEUGEOT,Personenauto,ZWART,Benzine
08DXP3,2018-01-04,HONDA,Bromfiets,N.v.t.,Benzine
HH594G,2018-01-02,SEAT,Personenauto,GEEL,Benzine
RR684T,2018-01-04,VOLKSWAGEN,Personenauto,WIT,Benzine
DNJ24S,2018-01-04,PIAGGIO,Bromfiets,N.v.t.,Benzine
38BKG8,2018-01-02,DAF,Bedrijfsauto,N.v.t.,Diesel
RH180X,2018-01-02,MERCEDES-BENZ,Personenauto,WIT,CNG
HT561H,2018-01-04,HYUNDAI,Personenauto,BLAUW,Benzine
RN946S,2018-01-03,JEEP,Personenauto,WIT,Benzine
JZ297Z,2018-01-02,MERCEDES-BENZ,Personenauto,GRIJS,Diesel
F786BL,2018-01-04,YAMAHA,Bromfiets,N.v.t.,Benzine
30ZLB2,2018-01-02,MAZDA,Personenauto,WIT,Benzine/LPG
PG792F,2018-01-04,KIA,Personenauto,ZWART,Benzine
PS289H,2018-01-02,SKODA,Personenauto,WIT,Benzine
RN584Z,2018-01-04,RENAULT,Personenauto,WIT,Benzine
RR854B,2018-01-04,MITSUBISHI,Personenauto,ROOD,Benzine
8VFK80,2018-01-02,HYUNDAI,Bedrijfsauto,N.v.t.,Diesel
RK420Z,2018-01-03,CITROEN,Personenauto,GRIJS,Benzine
HHXF92,2018-01-02,KIA,Personenauto,GRIJS,Benzine
DZ4784,2018-01-04,NEKAF,Personenauto,GROEN,Benzine
45TNZ8,2018-01-03,TOYOTA,Personenauto,ZWART,Benzine
RR636T,2018-01-04,KIA,Personenauto,ZWART,Benzine
DKX25Z,2018-01-01,PIAGGIO,Bromfiets,N.v.t.,Benzine
JV506F,2018-01-02,VOLVO,Personenauto,ZWART,Benzine
01ZKKR,2018-01-04,AUDI,Personenauto,GRIJS,Diesel
50JDGV,2018-01-03,PEUGEOT,Personenauto,GRIJS,Benzine
RL289X,2018-01-03,HONDA,Personenauto,ZWART,Benzine
45BKF8,2018-01-03,SCANIA,Bedrijfsauto,N.v.t.,Diesel
DNX97N,2018-01-03,PIAGGIO,Bromfiets,N.v.t.,Benzine
V516KT,2018-01-03,RENAULT,Bedrijfsauto,N.v.t.,Diesel
RR074J,2018-01-03,MERCEDES-BENZ,Personenauto,GRIJS,Benzine
V443FX,2018-01-04,HYUNDAI,Bedrijfsauto,N.v.t.,Diesel
94VDDV,2018-01-02,FIAT,Bedrijfsauto,N.v.t.,Diesel
RN400R,2018-01-04,KIA,Personenauto,WIT,Benzine
DHG86P,2018-01-03,ZUNDAPP,Bromfiets,N.v.t.,Benzine
V692KN,2018-01-02,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
49SRZS,2018-01-03,RENAULT,Personenauto,GROEN,Benzine/LPG
RL996F,2018-01-03,RENAULT,Personenauto,ROOD,Benzine
06DZJ2,2018-01-04,PIAGGIO,Bromfiets,N.v.t.,Benzine
29XHB5,2018-01-02,MERCEDES-BENZ,Personenauto,GRIJS,Benzine
23GFZN,2018-01-04,TOYOTA,Personenauto,ZWART,Benzine
31PPZ3,2018-01-02,CITROEN,Personenauto,BLAUW,Benzine
35KJP4,2018-01-04,MINI,Personenauto,ZWART,Benzine
RJ397H,2018-01-02,DACIA,Personenauto,ZWART,Alcohol
RL980P,2018-01-02,VOLVO,Personenauto,ZWART,Benzine
32SNHK,2018-01-04,MERCEDES-BENZ,Personenauto,GRIJS,Benzine
RL018N,2018-01-02,FORD,Personenauto,ROOD,Benzine
MG87JD,2018-01-02,BMW,Motorfiets,N.v.t.,Benzine
97ZKF3,2018-01-02,MAZDA,Personenauto,ZWART,Benzine
KV481D,2018-01-04,KIA,Personenauto,WIT,Benzine
RN743T,2018-01-02,SUZUKI,Personenauto,GRIJS,Benzine
RL135S,2018-01-02,BMW,Personenauto,WIT,Benzine
RL357N,2018-01-04,AUDI,Personenauto,BLAUW,Benzine
PL228D,2018-01-04,HYUNDAI,Personenauto,ZWART,Benzine
RH181X,2018-01-02,MERCEDES-BENZ,Personenauto,WIT,CNG
RP486B,2018-01-03,FORD,Personenauto,ROOD,Benzine
FR635N,2018-01-04,GILERA,Bromfiets,N.v.t.,Benzine
PS750V,2018-01-03,KIA,Personenauto,WIT,Benzine
RL997H,2018-01-02,VOLKSWAGEN,Personenauto,BLAUW,Elektriciteit
KN727V,2018-01-04,OPEL,Personenauto,ZWART,Benzine
3KGS38,2018-01-03,VOLVO,Personenauto,ZWART,Benzine
RN157X,2018-01-04,MAZDA,Personenauto,BLAUW,Benzine
MHJH81,2018-01-02,ZUENDAPP,Motorfiets,N.v.t.,Benzine
V409KH,2018-01-02,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
37ZKNV,2018-01-03,TOYOTA,Personenauto,BLAUW,Benzine
67JLG4,2018-01-03,HONDA,Personenauto,GRIJS,Benzine/Elektriciteit
75ZDG5,2018-01-04,OPEL,Personenauto,ZWART,Benzine/Elektriciteit
RN501L,2018-01-03,CITROEN,Personenauto,GRIJS,Benzine
RP136D,2018-01-04,MAZDA,Personenauto,ROOD,Benzine
KH514K,2018-01-04,VOLKSWAGEN,Personenauto,BLAUW,Benzine
RN386R,2018-01-04,KIA,Personenauto,WIT,Benzine
KV816B,2018-01-03,PEUGEOT,Personenauto,ZWART,Benzine
RR173S,2018-01-03,MINI,Personenauto,ZWART,Benzine
91GHP7,2018-01-04,MERCEDES-BENZ,Personenauto,ZWART,Benzine
41XXX9,2018-01-04,VOLKSWAGEN,Personenauto,WIT,Benzine
RL621D,2018-01-02,SEAT,Personenauto,WIT,Benzine
RL042T,2018-01-02,VOLKSWAGEN,Personenauto,WIT,Benzine
V872KL,2018-01-02,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
8KXL92,2018-01-04,CITROEN,Personenauto,BLAUW,Benzine
08THDF,2018-01-02,VOLKSWAGEN,Personenauto,GRIJS,Benzine
DLF51Z,2018-01-02,SYM,Bromfiets,N.v.t.,Benzine
RP559R,2018-01-02,FIAT,Personenauto,ZWART,Benzine
RK835N,2018-01-03,PEUGEOT,Personenauto,ROOD,Benzine
DPB06R,2018-01-04,SENZO,Bromfiets,N.v.t.,Benzine
28JPG6,2018-01-02,HYUNDAI,Personenauto,ROOD,Benzine
8XGZ33,2018-01-03,PEUGEOT,Personenauto,WIT,Benzine
35PKH7,2018-01-02,RENAULT,Personenauto,ZWART,Benzine
92ZJS5,2018-01-04,TOYOTA,Personenauto,BLAUW,Benzine/Elektriciteit
NV661N,2018-01-03,VOLVO,Personenauto,BLAUW,Benzine
ND818G,2018-01-02,PEUGEOT,Personenauto,ZWART,Benzine
75XFPN,2018-01-04,OPEL,Personenauto,ZWART,Benzine
22BKG7,2018-01-02,SCANIA,Bedrijfsauto,N.v.t.,Diesel
89LHH3,2018-01-02,MERCEDES-BENZ,Personenauto,GRIJS,Benzine
V415KT,2018-01-03,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
RJ815V,2018-01-03,VOLKSWAGEN,Personenauto,ZWART,Benzine
96BVXT,2018-01-02,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
RF100Z,2018-01-03,KIA,Personenauto,GRIJS,Benzine
RL377S,2018-01-04,KIA,Personenauto,BLAUW,Benzine
RR338R,2018-01-02,MERCEDES-BENZ,Personenauto,GRIJS,Benzine
RN835R,2018-01-03,HYUNDAI,Personenauto,GRIJS,Benzine
RL600K,2018-01-02,FORD,Personenauto,ZWART,Benzine
83PJS2,2018-01-04,MINI,Personenauto,BLAUW,Benzine
PT193X,2018-01-02,OPEL,Personenauto,ZWART,Benzine
F792PR,2018-01-02,KYMCO,Bromfiets,N.v.t.,Benzine
RR205R,2018-01-02,VOLVO,Personenauto,GRIJS,Diesel
JS584Z,2018-01-03,AUDI,Personenauto,GEEL,Benzine
67NGF2,2018-01-04,MAZDA,Personenauto,GRIJS,Benzine
DD429T,2018-01-03,PUCH,Bromfiets,N.v.t.,Benzine
14NZR2,2018-01-03,PEUGEOT,Personenauto,WIT,Benzine
46LJS3,2018-01-03,PEUGEOT,Personenauto,ROOD,Benzine
MV69ZF,2018-01-04,HONDA,Motorfiets,N.v.t.,Benzine
V835KT,2018-01-03,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
2ZTT19,2018-01-02,CITROEN,Personenauto,WIT,Benzine
RP640N,2018-01-03,MAZDA,Personenauto,ZWART,Benzine
2XRG17,2018-01-04,PEUGEOT,Personenauto,BLAUW,Benzine
30NKN8,2018-01-03,OPEL,Personenauto,GRIJS,Benzine
DLB07Z,2018-01-02,PIAGGIO,Bromfiets,N.v.t.,Benzine
42MDZR,2018-01-03,HONDA,Motorfiets,N.v.t.,Benzine
67RLPD,2018-01-03,PEUGEOT,Personenauto,GRIJS,Benzine
2XXH33,2018-01-02,OPEL,Personenauto,GRIJS,Benzine
RL362S,2018-01-04,KIA,Personenauto,ZWART,Benzine
PK317N,2018-01-04,VOLKSWAGEN,Personenauto,ROOD,Diesel
V301KS,2018-01-04,PEUGEOT,Bedrijfsauto,N.v.t.,Diesel
RP098X,2018-01-04,SUZUKI,Personenauto,ROOD,Benzine
RH862Z,2018-01-02,SEAT,Personenauto,BLAUW,Benzine
84ZKV6,2018-01-04,SEAT,Personenauto,BLAUW,Benzine
79XHJR,2018-01-04,TOYOTA,Personenauto,GROEN,Benzine
RN423R,2018-01-02,KIA,Personenauto,WIT,Benzine
V810KN,2018-01-02,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
RN299P,2018-01-04,OPEL,Personenauto,GRIJS,Benzine
81BHR5,2018-01-02,VOLVO,Bedrijfsauto,N.v.t.,Diesel
1XSR87,2018-01-04,VOLKSWAGEN,Personenauto,ZWART,Diesel
RF142Z,2018-01-03,KIA,Personenauto,GEEL,Benzine
40NNP7,2018-01-03,AUDI,Personenauto,GRIJS,Benzine
JHDT16,2018-01-04,JEEP,Personenauto,BLAUW,LPG
54LJG7,2018-01-02,PEUGEOT,Personenauto,ROOD,Benzine
34MBJH,2018-01-03,HARLEY DAVIDSON,Motorfiets,N.v.t.,Benzine
NL229H,2018-01-03,HYUNDAI,Personenauto,ZWART,Benzine
4SJJ26,2018-01-03,TOYOTA,Personenauto,ROOD,Benzine
86XXFR,2018-01-03,FORD,Personenauto,GRIJS,Benzine
DNT40D,2018-01-04,RIESE UND MUELLER,Bromfiets,N.v.t.,Elektriciteit
KH114B,2018-01-04,FIAT,Personenauto,BLAUW,Benzine
4XSF75,2018-01-03,FIAT,Personenauto,GRIJS,Benzine
DHX63D,2018-01-04,SENZO,Bromfiets,N.v.t.,Benzine
RK931R,2018-01-04,HYUNDAI,Personenauto,BLAUW,Benzine
RP078D,2018-01-03,MAZDA,Personenauto,WIT,Benzine
RN397F,2018-01-04,KIA,Personenauto,GRIJS,Benzine
RL218J,2018-01-02,VOLKSWAGEN,Personenauto,ZWART,Benzine
88LSX1,2018-01-03,OPEL,Personenauto,BLAUW,Benzine
D868RF,2018-01-03,PEUGEOT,Bromfiets,N.v.t.,Benzine
RN415V,2018-01-04,PEUGEOT,Personenauto,GRIJS,Benzine
52PTN8,2018-01-03,RENAULT,Personenauto,ZWART,Benzine
37TSG3,2018-01-04,MAZDA,Personenauto,ZWART,Benzine
RL995H,2018-01-03,VOLKSWAGEN,Personenauto,WIT,Benzine
V604KP,2018-01-02,IVECO,Bedrijfsauto,N.v.t.,Diesel
RP315G,2018-01-04,SUZUKI,Personenauto,GRIJS,Benzine
83FPK8,2018-01-04,SPARTA,Bromfiets,N.v.t.,Benzine
DGZ67Z,2018-01-02,KYMCO,Bromfiets,N.v.t.,Benzine
89TXS2,2018-01-02,VOLKSWAGEN,Personenauto,GRIJS,Benzine
V187KF,2018-01-03,CITROEN,Bedrijfsauto,N.v.t.,Benzine
PX420S,2018-01-03,HYUNDAI,Personenauto,WIT,Benzine
09RJKV,2018-01-03,KIA,Personenauto,ZWART,Benzine
V770KZ,2018-01-03,RENAULT,Bedrijfsauto,N.v.t.,Diesel
DNR20F,2018-01-03,SENZO,Bromfiets,N.v.t.,Benzine
29VZX2,2018-01-02,DODGE,Bedrijfsauto,N.v.t.,Benzine/LPG
RL066S,2018-01-02,BMW,Personenauto,ORANJE,Diesel
DPB51N,2018-01-03,SENZO,Bromfiets,N.v.t.,Benzine
92SGKN,2018-01-04,MITSUBISHI,Personenauto,GRIJS,Benzine
69NLR5,2018-01-03,TOYOTA,Personenauto,GRIJS,Benzine
8ZBX91,2018-01-04,MERCEDES-BENZ,Personenauto,WIT,Diesel
RP237J,2018-01-02,MITSUBISHI,Personenauto,ROOD,Benzine
V174KK,2018-01-02,FIAT,Bedrijfsauto,N.v.t.,Diesel
UL2727,2018-01-04,HONDA,Motorfiets,N.v.t.,Benzine
RJ455D,2018-01-04,AUDI,Personenauto,GRIJS,Benzine
9XPN24,2018-01-02,FORD,Personenauto,GRIJS,Benzine
RL447G,2018-01-02,RENAULT,Personenauto,ZWART,Benzine
48FTLN,2018-01-03,JEEP,Personenauto,GRIJS,Benzine
60DNR5,2018-01-03,ZUNDAPP,Bromfiets,N.v.t.,Benzine
RL215J,2018-01-03,VOLKSWAGEN,Personenauto,ZWART,Benzine
RN026J,2018-01-04,RENAULT,Personenauto,GRIJS,Benzine
03LVKL,2018-01-02,MAZDA,Personenauto,GRIJS,Benzine
29ZRN4,2018-01-04,RENAULT,Personenauto,WIT,Benzine
RL165J,2018-01-02,VOLKSWAGEN,Personenauto,ZWART,Benzine
NF227S,2018-01-02,OPEL,Personenauto,WIT,Benzine
93FZX5,2018-01-04,ITOM,Bromfiets,N.v.t.,Benzine
19MFZF,2018-01-04,BMW,Motorfiets,N.v.t.,Benzine
RL408R,2018-01-02,VOLKSWAGEN,Personenauto,ZWART,Benzine
DKN70B,2018-01-04,SYM,Bromfiets,N.v.t.,Benzine
RH492J,2018-01-02,AUDI,Personenauto,ZWART,Benzine
FR075P,2018-01-03,PIAGGIO,Bromfiets,N.v.t.,Benzine
RL690N,2018-01-02,MERCEDES-BENZ,Personenauto,ROOD,Benzine
RK143H,2018-01-02,VOLKSWAGEN,Personenauto,ZWART,Benzine
6SRF39,2018-01-04,MITSUBISHI,Personenauto,GRIJS,Benzine/Elektriciteit
ZR85NZ,2018-01-02,BMW,Personenauto,ZWART,Benzine
37BKH9,2018-01-02,VOLVO,Bedrijfsauto,N.v.t.,Diesel
V725KR,2018-01-04,CITROEN,Bedrijfsauto,N.v.t.,Diesel
05VKJ9,2018-01-04,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
93TRK2,2018-01-03,HONDA,Personenauto,GRIJS,Benzine/Elektriciteit
53STN6,2018-01-03,CHEVROLET,Personenauto,ZWART,Benzine
82ZKJS,2018-01-04,FIAT,Personenauto,GRIJS,Benzine
13RKH6,2018-01-02,PEUGEOT,Personenauto,ZWART,Benzine
MY75JV,2018-01-03,YAMAHA,Motorfiets,N.v.t.,Benzine
RN897N,2018-01-02,OPEL,Personenauto,GRIJS,Diesel
V204KG,2018-01-03,PEUGEOT,Bedrijfsauto,N.v.t.,Diesel
PT135R,2018-01-03,VOLKSWAGEN,Personenauto,BLAUW,Benzine
99BKH3,2018-01-02,VOLVO,Bedrijfsauto,N.v.t.,Diesel
RN913N,2018-01-02,OPEL,Personenauto,GRIJS,Diesel
RK550V,2018-01-04,VOLKSWAGEN,Personenauto,BLAUW,Benzine
KZ281R,2018-01-02,VOLKSWAGEN,Personenauto,ORANJE,Benzine
RN798T,2018-01-04,TOYOTA,Personenauto,ROOD,Benzine
RD355H,2018-01-02,VOLKSWAGEN,Personenauto,GRIJS,Diesel
RL749P,2018-01-02,VOLVO,Personenauto,GRIJS,Benzine
RR536R,2018-01-02,SEAT,Personenauto,GRIJS,Diesel
5XRH27,2018-01-03,FORD,Personenauto,GRIJS,Benzine
RN535B,2018-01-03,VOLKSWAGEN,Personenauto,ZWART,Benzine
KZ964H,2018-01-03,BMW,Personenauto,ZWART,Diesel
RP149G,2018-01-03,SUZUKI,Personenauto,BLAUW,Benzine
RP079J,2018-01-02,MITSUBISHI,Personenauto,WIT,Benzine
NF747K,2018-01-02,AUDI,Personenauto,GRIJS,Benzine
KS126T,2018-01-02,BMW,Personenauto,GRIJS,Diesel
RG749T,2018-01-03,CITROEN,Personenauto,ZWART,Benzine
RP319J,2018-01-03,MITSUBISHI,Personenauto,GRIJS,Benzine
RH167X,2018-01-02,MERCEDES-BENZ,Personenauto,WIT,CNG
V769KZ,2018-01-03,RENAULT,Bedrijfsauto,N.v.t.,Diesel
60ZRK8,2018-01-04,JAGUAR CARS,Personenauto,ROOD,Diesel
12TXG7,2018-01-02,RENAULT,Personenauto,GRIJS,Benzine
VS008L,2018-01-02,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
27KKN3,2018-01-04,FORD,Personenauto,GRIJS,Benzine
RJ676Z,2018-01-03,RENAULT,Personenauto,GRIJS,Benzine
GSTR16,2018-01-03,G.M.C.,Personenauto,GRIJS,Benzine/LPG
DK109K,2018-01-03,KREIDLER,Bromfiets,N.v.t.,Benzine
55BKH9,2018-01-02,VOLVO,Bedrijfsauto,N.v.t.,Diesel
13TZJZ,2018-01-02,HYUNDAI,Personenauto,GRIJS,Benzine
RH016N,2018-01-03,BMW,Personenauto,BRUIN,Diesel
02HNX3,2018-01-04,NISSAN,Personenauto,BRUIN,Benzine
RL902P,2018-01-03,VOLVO,Personenauto,ZWART,Diesel
V507KH,2018-01-04,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
10ZFD9,2018-01-02,SKODA,Personenauto,GRIJS,Diesel
TFTR47,2018-01-04,VOLKSWAGEN,Personenauto,PAARS,Benzine
27BJF6,2018-01-03,DAF,Bedrijfsauto,N.v.t.,Diesel
8SHZ02,2018-01-02,RENAULT,Personenauto,ROOD,Benzine
38ZLPV,2018-01-04,TOYOTA,Personenauto,ZWART,Benzine/Elektriciteit
28NJP2,2018-01-04,MITSUBISHI,Personenauto,GRIJS,Benzine
21PRL4,2018-01-04,VOLKSWAGEN,Personenauto,GRIJS,Benzine
RH174X,2018-01-02,MERCEDES-BENZ,Personenauto,WIT,CNG
NJ610J,2018-01-04,BMW,Personenauto,GRIJS,Benzine
RN114F,2018-01-02,MITSUBISHI,Personenauto,GRIJS,Benzine
RN363J,2018-01-02,RENAULT,Personenauto,ZWART,Benzine
DHJ95L,2018-01-02,KREIDLER,Bromfiets,N.v.t.,Benzine
KJ472V,2018-01-03,PEUGEOT,Personenauto,GRIJS,Benzine
34ZKH3,2018-01-03,OPEL,Personenauto,GRIJS,Benzine
RN368N,2018-01-02,SUZUKI,Personenauto,GRIJS,Benzine
10LZPT,2018-01-04,FIAT,Personenauto,GRIJS,Benzine
NF153R,2018-01-03,MAZDA,Personenauto,BRUIN,Benzine
RK555S,2018-01-03,TOYOTA,Personenauto,GRIJS,Benzine
RN742T,2018-01-02,SUZUKI,Personenauto,WIT,Benzine
29BKF1,2018-01-04,IVECO,Bedrijfsauto,N.v.t.,Diesel
51VXG6,2018-01-04,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
DHX01N,2018-01-02,PEUGEOT,Bromfiets,N.v.t.,Benzine
90SRKN,2018-01-04,SEAT,Personenauto,ZWART,Benzine
V384KS,2018-01-02,MITSUBISHI,Bedrijfsauto,N.v.t.,Diesel
29KDN9,2018-01-03,PEUGEOT,Personenauto,GRIJS,Benzine
D059TF,2018-01-02,BAOTIAN,Bromfiets,N.v.t.,Benzine
AH8401,2018-01-03,ALFA ROMEO,Personenauto,ROOD,Benzine
6SRN06,2018-01-02,VOLKSWAGEN,Personenauto,ZWART,Benzine
RP309G,2018-01-03,SUZUKI,Personenauto,WIT,Benzine
MDRG84,2018-01-02,HONDA,Motorfiets,N.v.t.,Benzine
PF607B,2018-01-02,FORD,Personenauto,GRIJS,Benzine
64RKH1,2018-01-02,PEUGEOT,Personenauto,ROOD,Benzine
9ZHJ49,2018-01-03,TOYOTA,Personenauto,ZWART,Benzine
RP674S,2018-01-03,TOYOTA,Personenauto,ZWART,Benzine
96BXTF,2018-01-02,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
96BGR5,2018-01-02,VOLVO,Bedrijfsauto,N.v.t.,Diesel
RJ064T,2018-01-04,FORD,Personenauto,GRIJS,Benzine
RB102D,2018-01-04,CITROEN,Personenauto,ROOD,Benzine
RL606G,2018-01-04,FORD,Personenauto,GRIJS,Benzine
V865KG,2018-01-03,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
PJ908R,2018-01-02,VOLKSWAGEN,Personenauto,BLAUW,Benzine
RR887B,2018-01-03,MITSUBISHI,Personenauto,BRUIN,Benzine
DKK10D,2018-01-04,PIAGGIO,Bromfiets,N.v.t.,Benzine
RL889N,2018-01-02,PIAGGIO,Driewielig motorrijtuig,N.v.t.,Benzine
MJLB28,2018-01-02,HARLEY DAVIDSON,Motorfiets,N.v.t.,Benzine
RR452R,2018-01-02,HONDA,Personenauto,ORANJE,Benzine
HG305D,2018-01-03,RENAULT,Personenauto,GRIJS,Benzine
V327KP,2018-01-03,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
RL510L,2018-01-02,DACIA,Personenauto,BLAUW,Benzine/LPG
RL620F,2018-01-02,NISSAN,Personenauto,ROOD,Benzine
40MGXV,2018-01-03,PIAGGIO,Motorfiets,N.v.t.,Benzine
9ZGR32,2018-01-04,BMW,Personenauto,GRIJS,Benzine
54NPTK,2018-01-03,TOYOTA,Personenauto,GRIJS,Benzine
40RFGG,2018-01-04,FORD,Personenauto,GRIJS,Benzine
F095KG,2018-01-03,YAMAHA,Bromfiets,N.v.t.,Benzine
3KGS38,2018-01-03,VOLVO,Personenauto,ZWART,Benzine
84VJJ5,2018-01-04,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
RJ155J,2018-01-04,AUDI,Personenauto,GRIJS,Benzine
74TRLT,2018-01-03,FIAT,Personenauto,GRIJS,Benzine
RN653P,2018-01-03,VOLKSWAGEN,Personenauto,WIT,Benzine
RL197S,2018-01-02,MINI,Personenauto,ZWART,Benzine
97HHH6,2018-01-04,KIA,Personenauto,GRIJS,Benzine
RP199P,2018-01-02,PORSCHE,Personenauto,ZWART,Benzine
RP138G,2018-01-02,SUZUKI,Personenauto,WIT,Benzine/Elektriciteit
NS668H,2018-01-03,VOLKSWAGEN,Personenauto,ZWART,Benzine
RP026X,2018-01-04,SUZUKI,Personenauto,ZWART,Benzine
RP753B,2018-01-02,TESLA,Personenauto,GRIJS,Elektriciteit
XNFJ86,2018-01-03,SAAB,Personenauto,GRIJS,Benzine
