kenteken,datum_tenaamstelling,merk,voertuigsoort,eerste_kleur,brandstof_omschrijving
08FJLV,2004-01-28,OPEL,Personenauto,ZWART,Benzine
40BLKV,2004-02-04,RENAULT,Bedrijfsauto,N.v.t.,Diesel
MS60YX,2004-02-06,SUZUKI,Motorfiets,N.v.t.,Benzine
MJVB44,2004-01-22,SUZUKI,Motorfiets,N.v.t.,Benzine
MP10BX,2004-01-09,HONDA,Motorfiets,N.v.t.,Benzine
MHTX97,2004-01-20,KAWASAKI,Motorfiets,N.v.t.,Benzine
MJRS04,2004-01-06,KAWASAKI,Motorfiets,N.v.t.,Benzine
51NNRX,2004-01-02,TOYOTA,Personenauto,GRIJS,Benzine
57NNXB,2004-01-12,RENAULT,Personenauto,GRIJS,Benzine
MFGH75,2004-01-31,SUZUKI,Motorfiets,N.v.t.,Benzine
77NRJG,2004-01-13,OPEL,Personenauto,ROOD,Benzine
PS26FV,2004-01-17,OPEL,Personenauto,BLAUW,Benzine
57NFPD,2004-01-05,TOYOTA,Personenauto,BLAUW,Benzine
83NSLX,2004-01-29,FIAT,Personenauto,ZWART,Benzine
12NPKZ,2004-01-05,FORD,Personenauto,BLAUW,Benzine
59NNVZ,2004-01-02,RENAULT,Personenauto,BLAUW,Benzine
GH43JH,2004-01-24,MINI,Personenauto,GROEN,Benzine
94LLST,2004-01-09,MERCEDES-BENZ,Personenauto,GRIJS,Benzine
MGRZ87,2004-02-14,BMW,Motorfiets,N.v.t.,Benzine
89JZZZ,2004-01-03,RENAULT,Personenauto,ROOD,Benzine
GBTX71,2004-01-06,FORD,Personenauto,WIT,Benzine
71NTHF,2004-02-13,FIAT,Personenauto,BLAUW,Benzine
43NSZS,2004-02-06,OPEL,Personenauto,GRIJS,Benzine
MH21VF,2004-01-08,KAWASAKI,Motorfiets,N.v.t.,Benzine
92NHKN,2004-01-15,PEUGEOT,Personenauto,ZWART,Benzine
DH6059,2004-02-03,MERCEDES-BENZ,Personenauto,GROEN,Benzine/LPG
BE2217,2004-02-09,CHEVROLET,Bedrijfsauto,N.v.t.,Benzine
6318AH,2004-01-14,VAUXHALL,Personenauto,GRIJS,Benzine
GLDF03,2004-02-14,MERCEDES-BENZ,Personenauto,WIT,Benzine
19NSVB,2004-02-06,TOYOTA,Personenauto,GRIJS,Benzine
54DNLT,2004-02-13,OPEL,Personenauto,GRIJS,Benzine
MJTV84,2004-01-17,HARLEY DAVIDSON,Motorfiets,N.v.t.,Benzine
RVHN49,2004-01-02,VOLKSWAGEN,Personenauto,GROEN,Benzine
91NNZD,2004-01-12,FORD,Personenauto,BLAUW,Benzine
05NNLX,2004-01-02,MERCEDES-BENZ,Personenauto,GRIJS,Benzine
73GRLN,2004-01-17,FIAT,Personenauto,ROOD,Benzine
